dns_ratio,Forward time,Backward time,Data time,Other time,Total time,FPS,BatchSize
0.1,0.4718,0.4921,0.004,0.0058,0.9737,513.4807,500
0.1,0.9117,1.1385,0.0065,0.0043,2.061,363.8994,750
0.1,1.179,1.5006,0.0058,0.0051,2.6904,371.6866,1000
0.1,0.1565,0.1489,0.0048,0.0049,0.315,634.8841,200
0.1,0.2805,0.2889,0.0055,0.0053,0.5801,517.1752,300
0.1,0.3951,0.4074,0.0051,0.0055,0.8132,491.9067,400
0.3,0.439,0.466,0.0046,0.0073,0.917,545.2666,500
0.3,0.8848,1.1452,0.0051,0.0057,2.0408,367.5062,750
0.3,1.1934,1.5876,0.0055,0.005,2.7914,358.2436,1000
0.3,0.1623,0.1636,0.0049,0.0045,0.3353,596.486,200
0.3,0.2729,0.2759,0.0042,0.0053,0.5582,537.4654,300
0.3,0.3784,0.3975,0.0057,0.0062,0.7878,507.7591,400
0.5,0.4069,0.4305,0.005,0.0061,0.8485,589.2594,500
0.5,0.8723,1.1324,0.0054,0.0045,2.0145,372.2916,750
0.5,1.1723,1.5493,0.0047,0.0051,2.7314,366.1145,1000
0.5,0.1665,0.1759,0.0056,0.0042,0.3521,568.0734,200
0.5,0.2961,0.3186,0.0039,0.0045,0.6231,481.4505,300
0.5,0.3798,0.4165,0.0037,0.0053,0.8052,496.7613,400
0.7,0.4582,0.5314,0.0061,0.0057,1.0015,499.2606,500
0.7,0.896,1.2115,0.0048,0.0046,2.1169,354.2863,750
0.7,1.1633,1.5802,0.0063,0.006,2.7558,362.8725,1000
0.7,0.1723,0.1839,0.0047,0.005,0.3659,546.6488,200
0.7,0.2633,0.2882,0.0049,0.0058,0.5622,533.6089,300
0.7,0.3909,0.4325,0.0062,0.0062,0.8357,478.6234,400
0.9,0.481,0.5878,0.004,0.0071,1.0799,463.008,500
0.9,0.9042,1.238,0.0049,0.0043,2.1514,348.6169,750
0.9,1.2082,1.6572,0.006,0.0051,2.8764,347.6542,1000
0.9,0.1795,0.2079,0.0054,0.0046,0.3974,503.2556,200
0.9,0.2859,0.3213,0.0039,0.0049,0.616,487.0132,300
0.9,0.3546,0.4047,0.0042,0.0051,0.7686,520.4568,400
